ID_PRODUTO,NOME_DO_PRODUTO,PRECO_PRODUTO,QTD_EM_ESTOQUE,QTD_PRODUTO_VENDIDO,PRODUTO_EM_PROMOCAO,QTD_DIAS_EM_PROMOCAO,DATA_COMPRA
1,Sal,6.61,7,3,NÃO,0,2023-12-11 13:56:28.032220
2,Leite,15.07,332,276,NÃO,0,2023-09-01 13:56:28.032220
3,Café,12.67,199,109,NÃO,0,2024-02-03 13:56:28.032220
4,Farinha de Trigo,3.84,86,64,SIM,5,2023-09-18 13:56:28.032220
5,Sal,18.54,42,20,SIM,22,2023-11-08 13:56:28.032220
6,Margarina,16.22,384,135,NÃO,0,2023-12-03 13:56:28.032220
7,Óleo,2.41,108,93,SIM,13,2024-05-31 13:56:28.032220
8,Sal,13.72,434,140,SIM,22,2024-06-24 13:56:28.032220
9,Café,15.88,407,238,NÃO,0,2023-11-28 13:56:28.032220
10,Farinha de Trigo,8.74,482,333,NÃO,0,2024-06-18 13:56:28.032220
11,Leite,3.24,151,107,NÃO,0,2024-06-17 13:56:28.032220
12,Café,3.39,16,3,SIM,11,2024-05-15 13:56:28.032220
13,Café,3.88,132,100,SIM,27,2023-10-02 13:56:28.032220
14,Óleo,17.13,147,37,SIM,9,2024-04-17 13:56:28.032220
15,Açúcar,18.39,276,193,SIM,16,2024-07-19 13:56:28.032220
16,Farinha de Trigo,4.21,231,146,SIM,2,2024-04-15 13:56:28.032220
17,Feijão,6.25,313,220,NÃO,0,2023-12-09 13:56:28.032220
18,Café,4.98,414,82,SIM,25,2024-02-08 13:56:28.032220
19,Açúcar,5.35,365,236,SIM,2,2024-04-01 13:56:28.032220
20,Feijão,17.07,227,175,SIM,12,2024-02-12 13:56:28.032220
21,Farinha de Trigo,7.98,138,75,NÃO,0,2023-09-22 13:56:28.032220
22,Arroz,7.61,435,128,NÃO,0,2023-12-01 13:56:28.032220
23,Margarina,6.09,398,290,NÃO,0,2024-05-28 13:56:28.032220
24,Açúcar,12.94,210,110,SIM,26,2024-06-19 13:56:28.032220
25,Macarrão,8.83,390,31,NÃO,0,2023-09-29 13:56:28.032220
26,Arroz,15.4,498,137,NÃO,0,2024-07-22 13:56:28.032220
27,Margarina,5.7,27,9,NÃO,0,2023-12-08 13:56:28.032220
